ENCODED_MCT,TA_YM,MCT_OPE_MS_CN,RC_M1_SAA,RC_M1_TO_UE_CT,RC_M1_UE_CUS_CN,RC_M1_AV_NP_AT,APV_CE_RAT,DLV_SAA_RAT,M1_SME_RY_SAA_RAT,M1_SME_RY_CNT_RAT,M12_SME_RY_SAA_PCE_RT,M12_SME_BZN_SAA_PCE_RT,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,survive,day_diff,quaters
0041E4E5AE,202409,3,2,2,2,4,4,14.2,187.1,419.2,7.4,9.0,18.9,7.7,13.7995,15.73,12.584,17.589,11.869,5.5005,6.27,5.016,7.011,4.731,31.51,5.55,30.6,11.3,58.1,한식-찌개/전골,답십리,1,2450,3
0041E4E5AE,202302,3,2,2,2,4,1,3.4,187.9,372.1,8.2,9.0,20.2,9.2,15.2154,12.5847,14.22,18.9837,10.1673,6.1846,5.1153,5.78,7.7163,4.1327,31.52,6.15,23.4,20.4,56.2,한식-찌개/전골,답십리,1,1870,1
0041E4E5AE,202402,3,2,2,2,4,4,5.6,237.3,503.2,6.7,7.6,19.3,8.0,14.484,15.407,13.277,17.537,10.366,5.916,6.293,5.423,7.163,4.234,31.79,6.47,33.0,11.4,55.7,한식-찌개/전골,답십리,1,2236,1
0041E4E5AE,202405,3,2,2,2,4,2,10.1,197.9,419.4,6.9,8.1,19.0,7.8,13.9673,15.4562,12.8329,17.6541,10.9895,5.7327,6.3438,5.2671,7.2459,4.5105,31.99,5.88,25.0,13.6,61.4,한식-찌개/전골,답십리,1,2328,2
0041E4E5AE,202309,3,2,2,2,4,1,6.2,240.2,445.4,7.7,8.4,20.8,8.9,15.3738,13.4784,13.5486,18.6732,9.0558,6.5262,5.7216,5.7514,7.9268,3.8442,32.42,6.87,31.7,12.8,55.6,한식-찌개/전골,답십리,1,2084,3
0041E4E5AE,202408,3,3,2,2,4,3,12.3,153.0,324.7,7.2,8.6,18.9,8.0,13.7088,15.6366,12.7092,17.6358,11.7096,5.4912,6.2634,5.0908,7.0642,4.6904,32.25,5.0,29.1,14.2,56.7,한식-찌개/전골,답십리,1,2420,3
0041E4E5AE,202308,3,2,2,2,4,4,4.7,172.4,327.8,7.9,8.7,21.2,8.7,15.0285,13.4907,13.4208,18.7332,9.2967,6.4715,5.8093,5.7792,8.0668,4.0033,33.08,6.56,27.3,14.3,58.4,한식-찌개/전골,답십리,1,2054,3
0041E4E5AE,202301,3,2,2,2,4,3,6.9,201.1,420.3,8.0,8.9,19.8,9.2,15.6585,12.441,13.871,19.019,10.582,6.2415,4.959,5.529,7.581,4.218,32.1,6.55,26.4,13.2,60.4,한식-찌개/전골,답십리,1,1842,1
0041E4E5AE,202304,3,2,2,2,4,1,2.8,226.5,470.1,7.9,8.9,21.9,9.5,15.1575,12.6195,14.241,18.1185,10.434,6.3425,5.2805,5.959,7.5815,4.366,31.5,7.34,26.5,11.6,61.9,한식-찌개/전골,답십리,1,1931,2
0041E4E5AE,202410,3,2,2,2,4,1,7.0,219.7,461.7,7.6,9.2,18.9,7.7,13.896,15.408,12.816,17.784,12.024,5.404,5.992,4.984,6.916,4.676,31.76,8.32,28.1,10.6,61.3,한식-찌개/전골,답십리,1,2481,4
0050D68B18,202408,5,3,4,4,1,1,-999999.9,294.1,200.0,1.2,13.4,17.6,8.0,0.0,4.1906,21.6818,46.2788,18.9488,0.0,0.4094,2.1182,4.5212,1.8512,22.4,4.0,40.0,10.0,50.0,룸살롱/단란주점,성수,1,458,3
00646B6673,202309,5,4,3,3,3,1,71.6,77.9,85.7,32.0,0.0,17.0,-999999.9,3.9,13.572,15.652,12.168,6.76,3.6,12.528,14.448,11.232,6.24,18.98,8.53,62.3,7.5,30.2,한식-냉면,비상권,1,632,3
00646B6673,202305,5,4,3,3,4,1,80.5,62.2,74.0,43.0,0.0,17.1,-999999.9,3.102,12.69,14.805,11.139,5.217,3.498,14.31,16.695,12.561,5.883,18.33,16.08,53.7,5.6,40.7,한식-냉면,비상권,1,510,2
00646B6673,202410,4,3,3,3,3,1,64.6,107.2,114.1,21.3,0.0,17.1,-999999.9,3.5397,14.0049,15.0822,11.0295,7.6437,3.3603,13.2951,14.3178,10.4705,7.2563,26.52,7.18,72.6,4.8,22.6,한식-냉면,비상권,1,1029,4
00646B6673,202411,4,3,3,3,3,1,63.8,100.9,102.0,22.8,0.0,16.9,-999999.9,3.3132,13.6042,14.8592,10.5922,7.781,3.2868,13.4958,14.7408,10.5078,7.719,26.35,6.12,73.9,0.0,26.1,한식-냉면,비상권,1,1059,4
00646B6673,202407,4,3,3,3,3,1,68.3,119.6,135.2,22.8,0.0,17.3,-999999.9,3.4304,15.2064,14.6432,10.5472,7.3216,3.2696,14.4936,13.9568,10.0528,6.9784,25.19,10.37,61.7,4.9,33.3,한식-냉면,비상권,1,937,3
00646B6673,202307,5,3,3,3,3,1,77.6,104.4,114.8,37.3,0.0,17.0,-999999.9,4.0508,12.103,15.0176,12.2018,6.0268,4.1492,12.397,15.3824,12.4982,6.1732,18.21,16.67,60.3,1.3,38.5,한식-냉면,비상권,1,571,3
00646B6673,202303,5,3,3,3,4,4,56.0,96.5,120.7,42.4,0.0,15.9,-999999.9,1.8057,13.6122,16.2513,10.4175,4.167,2.0943,15.7878,18.8487,12.0825,4.833,20.88,21.89,58.8,14.7,26.5,한식-냉면,비상권,1,449,1
00A2CF886A,202311,3,3,5,5,1,1,-999999.9,149.9,109.1,10.9,29.5,19.5,10.4,12.012,30.03,22.3938,14.7576,6.5208,1.988,4.97,3.7062,2.4424,1.0792,9.09,5.45,18.2,18.2,63.6,일반 유흥주점,왕십리,1,2831,4
00BC189C4B,202401,1,2,4,4,1,6,1.2,126.4,57.6,22.4,18.0,18.4,7.1,5.5825,23.345,13.485,15.225,14.8625,2.1175,8.855,5.115,5.775,5.6375,21.91,6.46,42.9,17.9,39.3,한식-해물/생선,뚝섬,1,7649,1
00BC189C4B,202412,1,2,3,3,1,1,0.0,256.6,97.7,12.5,14.5,16.2,9.0,5.6004,20.5348,15.7242,15.5806,14.4318,2.1996,8.0652,6.1758,6.1194,5.6682,17.71,9.38,39.6,31.3,29.2,한식-해물/생선,뚝섬,1,7984,4
00BC189C4B,202411,1,2,3,3,2,1,0.0,173.6,91.3,19.7,14.6,17.7,9.1,5.3206,20.7791,15.4585,15.6742,14.6676,2.0794,8.1209,6.0415,6.1258,5.7324,17.19,12.5,36.0,28.0,36.0,한식-해물/생선,뚝섬,1,7953,4
00BC189C4B,202308,1,3,4,4,2,1,0.0,73.6,43.4,19.1,14.9,18.0,7.9,8.2308,21.2268,12.3462,15.2342,15.2342,3.1692,8.1732,4.7538,5.8658,5.8658,21.63,4.09,59.1,22.7,18.2,한식-해물/생선,뚝섬,1,7496,3
00BC189C4B,202310,1,3,4,4,2,1,0.0,85.8,50.9,21.1,16.3,18.8,7.2,7.3134,21.2232,12.4041,14.6985,16.0608,2.8866,8.3768,4.8959,5.8015,6.3392,20.37,5.03,48.3,13.8,37.9,한식-해물/생선,뚝섬,1,7557,4
00BC189C4B,202408,1,3,4,4,2,6,0.0,85.7,46.3,22.5,17.1,18.5,9.1,4.686,20.945,16.259,14.981,14.129,1.914,8.555,6.641,6.119,5.771,17.4,5.6,40.9,36.4,22.7,한식-해물/생선,뚝섬,1,7862,3
00BC189C4B,202407,1,3,4,4,2,1,1.9,84.0,43.3,22.6,17.2,18.5,8.7,4.5804,20.6812,14.8516,15.0598,14.227,2.0196,9.1188,6.5484,6.6402,6.273,17.31,6.87,33.3,38.1,28.6,한식-해물/생선,뚝섬,1,7831,3
00BC189C4B,202404,1,3,4,4,2,1,0.0,89.1,46.7,23.6,18.4,18.9,7.8,4.1907,20.1978,13.8774,14.9766,15.3888,1.9093,9.2022,6.3226,6.8234,7.0112,18.1,5.21,50.0,25.0,25.0,한식-해물/생선,뚝섬,1,7739,2
00CEAAD71A,202411,2,4,4,4,2,1,-999999.9,59.0,47.4,33.7,40.6,18.7,9.4,7.2036,18.009,18.792,24.1947,10.1007,1.9964,4.991,5.208,6.7053,2.7993,19.78,8.24,45.5,13.6,40.9,포장마차,왕십리,1,3314,4
00CEAAD71A,202403,3,3,4,4,2,1,-999999.9,80.0,62.7,36.0,42.2,19.2,9.2,10.8262,23.1176,19.0476,21.2454,7.0818,2.4738,5.2824,4.3524,4.8546,1.6182,14.21,13.68,23.3,20.0,56.7,포장마차,왕십리,1,3070,1
00DA1813DE,202410,3,6,6,6,6,,-999999.9,0.0,0.0,78.0,0.0,10.8,-999999.9,7.85,7.85,15.7,0.0,31.4,4.65,4.65,9.3,0.0,18.6,12.5,0.0,-999999.9,-999999.9,-999999.9,청과물,비상권,1,1883,4
00DA1813DE,202402,3,6,6,6,6,,-999999.9,0.0,0.0,78.0,0.0,10.7,-999999.9,2.8202,2.8202,4.2064,2.8202,11.2569,8.9798,8.9798,13.3936,8.9798,35.8431,5.56,0.0,-999999.9,-999999.9,-999999.9,청과물,비상권,1,1638,1
00DA1813DE,202404,3,6,6,6,6,,-999999.9,0.0,0.0,78.4,0.0,10.7,-999999.9,2.01,3.99,6.0,3.99,14.01,4.69,9.31,14.0,9.31,32.69,6.67,0.0,-999999.9,-999999.9,-999999.9,청과물,비상권,1,1699,2
00FDB35E9C,202404,3,4,3,3,5,1,33.0,49.4,39.1,40.7,0.0,14.4,-999999.9,18.868,14.3736,4.1128,3.9856,1.0176,25.632,19.5264,5.5872,5.4144,1.3824,33.41,8.53,57.4,11.5,31.1,카페,비상권,1,1918,2
00FDB35E9C,202403,3,4,3,3,5,1,13.1,56.8,47.6,41.2,0.0,14.3,-999999.9,19.8795,14.094,4.176,4.2195,1.0875,25.8205,18.306,5.424,5.4805,1.4125,33.64,8.58,41.4,21.4,37.1,카페,비상권,1,1888,1
00FDB35E9C,202402,3,4,3,3,5,4,16.1,51.8,44.3,42.2,0.0,14.4,-999999.9,19.6602,13.671,4.34,4.4702,1.2586,25.6398,17.829,5.66,5.8298,1.6414,32.62,7.8,42.4,16.9,40.7,카페,비상권,1,1857,1
00FDB35E9C,202302,4,4,3,3,5,5,7.4,39.4,47.1,44.3,0.0,11.2,-999999.9,20.1302,11.1879,3.6892,3.4085,1.6441,30.0698,16.7121,5.5108,5.0915,2.4559,35.41,7.73,52.4,12.7,34.9,카페,비상권,1,1491,1
00FDB35E9C,202309,3,4,3,3,5,5,3.6,30.3,29.9,44.4,0.0,13.5,-999999.9,20.4516,13.3722,3.8893,4.1078,1.8791,26.3484,17.2278,5.0107,5.2922,2.4209,37.53,6.07,44.0,14.0,42.0,카페,비상권,1,1705,3
00FDB35E9C,202303,4,4,3,3,5,1,10.5,35.9,40.6,44.7,0.0,11.1,-999999.9,20.003,11.9935,3.901,3.6935,1.9505,28.197,16.9065,5.499,5.2065,2.7495,35.22,5.87,39.3,13.1,47.5,카페,비상권,1,1522,1
00FDB35E9C,202310,3,4,3,4,5,1,1.9,31.3,30.9,45.2,0.0,14.3,-999999.9,19.902,13.1824,3.6808,4.1944,1.8832,26.598,17.6176,4.9192,5.6056,2.5168,36.68,5.37,47.6,19.0,33.3,카페,비상권,1,1736,4
011E53BB76,202406,3,1,1,1,5,4,19.2,389.2,1661.3,3.0,0.0,18.9,-999999.9,4.2315,11.1631,11.7676,7.254,5.8838,6.2685,16.5369,17.4324,10.746,8.7162,43.31,5.58,51.0,6.7,42.3,백반/가정식,비상권,1,2441,2
011E53BB76,202310,3,1,1,1,5,2,21.5,393.5,1657.1,2.6,0.0,20.4,-999999.9,4.64,11.24,11.44,7.2,5.48,6.96,16.86,17.16,10.8,8.22,44.32,6.0,47.4,8.1,44.6,백반/가정식,비상권,1,2198,4
011E53BB76,202311,3,1,1,1,4,3,17.9,429.6,1712.1,2.7,0.0,19.4,-999999.9,4.554,11.0088,11.286,7.2072,5.544,6.946,16.7912,17.214,10.9928,8.456,43.71,5.78,52.5,7.3,40.3,백반/가정식,비상권,1,2228,4
011E53BB76,202403,3,1,1,1,5,4,21.0,349.3,1505.4,2.9,0.0,19.2,-999999.9,4.2728,11.0152,11.3288,7.0168,5.6056,6.6272,17.0848,17.5712,10.8832,8.6944,43.1,5.77,47.7,7.2,45.1,백반/가정식,비상권,1,2350,1
012A64A73B,202305,3,4,4,4,3,1,0.0,64.7,63.3,21.7,0.0,22.7,-999999.9,12.5847,21.9699,17.9172,13.4379,5.1903,5.1153,8.9301,7.2828,5.4621,2.1097,15.73,8.0,43.8,9.4,46.9,포장마차,비상권,1,1671,2
01670CF403,202309,4,2,2,2,3,3,26.9,260.0,253.4,5.0,0.0,17.0,-999999.9,9.006,14.136,7.828,5.016,2.014,14.694,23.064,12.772,8.184,3.286,21.19,6.22,40.8,6.7,52.5,베이커리,비상권,1,1178,3
01670CF403,202412,3,1,2,2,3,6,13.8,533.0,142.9,2.6,0.0,18.0,-999999.9,7.1434,13.3318,9.2444,5.4626,3.0178,11.5566,21.5682,14.9556,8.8374,4.8822,21.11,9.78,37.4,6.9,55.7,베이커리,비상권,1,1636,4
01670CF403,202305,4,2,2,2,3,6,8.3,239.7,231.5,4.4,0.0,17.1,-999999.9,8.712,13.608,7.452,4.428,1.8,15.488,24.192,13.248,7.872,3.2,23.32,5.45,43.2,5.7,51.1,베이커리,비상권,1,1056,2
01670CF403,202308,4,2,2,2,3,5,30.6,187.7,194.0,4.8,0.0,17.0,-999999.9,8.6715,13.6899,7.7859,4.7232,1.9926,14.8285,23.4101,13.3141,8.0768,3.4074,22.25,5.39,41.8,5.7,52.5,베이커리,비상권,1,1148,3
01670CF403,202312,4,1,2,2,3,6,19.7,376.5,355.2,5.7,0.0,17.3,-999999.9,8.428,14.7784,8.428,5.2528,2.3128,13.072,22.9216,13.072,8.1472,3.5872,21.7,8.27,45.1,5.4,49.6,베이커리,비상권,1,1270,4
01670CF403,202404,4,2,2,2,3,5,13.1,201.9,221.7,6.3,0.0,17.5,-999999.9,8.1164,14.8932,8.5892,5.3978,2.4034,12.4836,22.9068,13.2108,8.3022,3.6966,20.93,5.92,42.4,4.3,53.2,베이커리,비상권,1,1391,2
01670CF403,202407,4,2,3,2,3,6,18.1,187.0,187.5,6.5,0.0,17.3,-999999.9,7.76,14.4336,8.3032,5.7036,2.6384,12.24,22.7664,13.0968,8.9964,4.1616,21.95,6.01,38.0,9.3,52.7,베이커리,비상권,1,1483,3
01670CF403,202408,4,2,3,2,3,3,18.0,177.8,181.9,6.5,0.0,17.1,-999999.9,7.722,14.586,8.424,5.577,2.691,12.078,22.814,13.176,8.723,4.209,21.19,5.88,37.5,5.8,56.7,베이커리,비상권,1,1514,3
01670CF403,202411,3,2,2,2,3,4,21.2,217.4,242.4,7.1,0.0,16.9,-999999.9,7.067,13.4464,9.0916,5.6536,2.9032,11.433,21.7536,14.7084,9.1464,4.6968,21.69,7.33,46.9,5.4,47.6,베이커리,비상권,1,1605,4
01744C5370,202304,5,2,2,2,3,1,5.6,274.0,388.0,2.7,4.7,21.9,9.0,21.0021,10.7682,4.8909,3.6579,0.7398,30.0979,15.4318,7.0091,5.2421,1.0602,8.61,5.3,6.5,20.0,73.5,한식-단품요리일반,성수,1,474,2
01744C5370,202408,4,2,2,2,3,1,3.2,221.7,211.2,5.0,8.2,17.1,8.0,19.68,11.562,4.715,4.1,0.984,28.32,16.638,6.785,5.9,1.416,8.55,6.75,7.1,19.3,73.6,한식-단품요리일반,성수,1,963,3
019E31E4C6,202405,4,4,4,4,3,1,-999999.9,28.3,46.9,51.6,41.9,19.7,7.8,12.2,4.06,2.08,1.38,0.28,48.8,16.24,8.32,5.52,1.12,6.28,8.45,13.9,5.6,80.6,양식,성수,1,798,2
019E31E4C6,202409,4,5,4,4,4,1,-999999.9,8.4,28.2,55.6,44.9,19.7,8.3,13.1645,5.3357,2.563,1.5844,0.6524,43.3355,17.5643,8.437,5.2156,2.1476,3.13,5.13,11.1,27.8,61.1,양식,성수,1,920,3
01AAD3CFFA,202412,3,5,4,4,5,1,-999999.9,12.8,28.3,38.1,63.7,11.5,9.4,11.4808,8.4072,19.888,31.2784,19.436,1.2192,0.8928,2.112,3.3216,2.064,30.4,4.8,50.0,18.8,31.3,식료품,왕십리,1,3154,4
01AB37892D,202401,4,6,6,6,6,,-999999.9,0.0,0.0,33.8,53.8,4.7,5.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999999.9,-999999.9,-999999.9,축산물,마장동,1,933,1
01B82F195A,202303,2,5,5,5,3,1,-999999.9,5.9,6.6,64.5,51.0,7.2,8.7,8.6688,9.4256,23.8736,19.5392,7.224,3.9312,4.2744,10.8264,8.8608,3.276,12.64,3.45,33.3,33.3,33.3,호프/맥주,금남시장,1,3241,1
01CCBE28E0,202306,3,4,4,5,3,1,86.2,26.3,27.8,46.0,48.2,16.9,9.3,16.3593,21.8124,18.675,12.4749,5.4531,5.5407,7.3876,6.325,4.2251,1.8469,29.55,3.41,42.9,14.3,42.9,양식,왕십리,1,1822,2
01CCBE28E0,202312,3,4,5,5,3,1,85.4,24.1,18.8,48.4,49.4,17.3,9.9,13.7655,26.8065,19.5615,15.939,4.347,3.3345,6.4935,4.7385,3.861,1.053,28.92,3.61,16.7,16.7,66.7,양식,왕십리,1,2006,4
01CCBE28E0,202407,3,5,4,4,3,1,87.1,19.3,21.7,58.6,57.4,17.3,9.3,11.5101,27.1701,14.6421,16.6779,8.3781,3.1899,7.5299,4.0579,4.6221,2.3219,28.13,12.5,40.0,10.0,50.0,양식,왕십리,1,2219,3
01CCBE28E0,202411,3,5,5,5,3,1,90.3,15.0,9.3,59.3,58.4,16.9,9.4,10.9275,23.0175,16.9725,14.57,12.09,3.1725,6.6825,4.9275,4.23,3.51,23.64,3.64,0.0,50.0,50.0,양식,왕십리,1,2341,4
01D70FA491,202306,5,4,4,4,4,1,-999999.9,33.2,38.7,33.5,32.3,16.9,8.7,13.1784,17.8296,15.3748,11.1758,6.9768,7.2216,9.7704,8.4252,6.1242,3.8232,12.81,4.72,10.0,25.0,65.0,한식-국수/만두,성수,1,522,2
01DB89157C,202304,5,2,1,1,4,2,21.4,126.0,110.5,14.8,17.2,6.1,9.0,37.942,8.967,5.246,7.015,1.83,24.258,5.733,3.354,4.485,1.17,30.6,6.84,42.0,7.1,50.9,햄버거,한양대,1,468,2
01DB89157C,202311,4,2,1,1,4,1,27.4,114.8,103.1,12.2,21.8,13.7,8.3,36.5414,9.1657,5.2202,7.6482,2.1852,23.6586,5.9343,3.3798,4.9518,1.4148,30.22,5.43,38.2,6.6,55.3,햄버거,한양대,1,682,4
01DB89157C,202312,4,3,2,2,4,5,29.3,81.1,76.9,12.7,22.3,13.6,7.9,36.8433,9.1039,5.3157,7.5764,2.2607,23.4567,5.7961,3.3843,4.8236,1.4393,30.09,3.97,43.8,8.0,48.2,햄버거,한양대,1,713,4
01EBAA3D0F,202303,4,4,3,3,4,1,0.0,43.4,101.2,32.9,37.0,15.9,7.9,10.692,10.287,2.808,2.025,1.215,28.908,27.813,7.592,5.475,3.285,29.83,7.24,17.2,31.0,51.7,샌드위치/토스트,뚝섬,1,655,1
01EBAA3D0F,202408,4,4,3,3,4,4,2.2,57.8,128.2,39.7,39.0,17.1,9.1,10.656,12.876,8.288,4.181,0.962,18.144,21.924,14.112,7.119,1.638,30.79,7.63,20.8,39.6,39.6,샌드위치/토스트,뚝섬,1,1174,3
01EBAA3D0F,202411,4,4,4,4,4,1,7.6,35.4,78.1,39.7,38.2,16.9,9.1,9.0525,13.277,7.9165,4.2245,0.994,16.4475,24.123,14.3835,7.6755,1.806,32.18,5.75,8.1,37.8,54.1,샌드위치/토스트,뚝섬,1,1265,4
01EBAA3D0F,202305,4,4,3,3,4,5,0.0,33.3,84.6,36.2,38.5,17.1,8.0,10.0035,9.0896,2.9146,1.8031,0.9139,30.4965,27.7104,8.8854,5.4969,2.7861,29.98,6.52,17.0,34.0,48.9,샌드위치/토스트,뚝섬,1,716,2
01EBAA3D0F,202405,4,4,3,3,4,1,10.9,55.1,118.1,42.6,41.4,17.5,7.8,10.9652,11.3469,7.2176,4.1293,1.0063,20.6348,21.3531,13.5824,7.7707,1.8937,27.12,11.58,12.5,39.6,47.9,샌드위치/토스트,뚝섬,1,1082,2
01EDD97C21,202311,3,3,2,2,5,4,4.3,135.4,102.6,17.0,12.2,14.1,5.6,15.9581,23.6911,14.3412,11.3886,4.921,6.7419,10.0089,6.0588,4.8114,2.079,38.87,6.21,10.7,31.3,58.0,커피전문점,장한평자동차,1,1756,4
01EDD97C21,202404,3,3,2,3,4,1,11.1,126.9,84.3,17.1,12.2,14.4,6.3,12.4505,23.2858,14.806,11.8448,4.9802,6.0495,11.3142,7.194,5.7552,2.4198,37.6,5.93,19.3,34.9,45.8,커피전문점,장한평자동차,1,1908,2
01EDD97C21,202309,3,3,2,2,5,4,9.8,117.3,100.6,17.5,12.8,13.5,6.7,17.1864,23.0769,13.9986,10.0485,5.0589,7.6136,10.2231,6.2014,4.4515,2.2411,38.01,6.17,13.5,24.0,62.5,커피전문점,장한평자동차,1,1695,3
01EDD97C21,202308,3,3,2,2,5,2,16.5,114.9,97.1,18.0,13.8,13.0,6.7,17.4696,23.1072,14.3376,9.5352,5.1504,7.6304,10.0928,6.2624,4.1648,2.2496,37.36,6.53,15.1,19.8,65.1,커피전문점,장한평자동차,1,1665,3
01EDD97C21,202307,3,3,2,2,5,2,9.5,126.4,98.5,18.2,13.8,12.5,6.2,17.536,23.29,13.837,9.042,4.795,8.064,10.71,6.363,4.158,2.205,39.01,6.34,18.3,28.8,52.9,커피전문점,장한평자동차,1,1634,3
01EDD97C21,202407,3,4,3,3,5,3,0.0,62.1,54.3,19.7,14.8,14.2,7.0,11.458,22.3094,14.7606,12.469,6.403,5.542,10.7906,7.1394,6.031,3.097,35.05,6.27,16.2,32.4,51.5,커피전문점,장한평자동차,1,2000,3
01F74A3D59,202410,3,4,4,4,4,1,39.4,46.0,66.8,32.6,37.0,16.9,8.1,11.6616,15.5262,11.3904,20.4756,8.814,5.5384,7.3738,5.4096,9.7244,4.186,21.08,4.32,50.0,5.0,45.0,치킨,성수,1,2891,4
